protein_UniProt_ID,BioDolphinID
O86786,BD5fag-A-A-PPI1
Q2K340,BD4jx6-A-A-PYR1
Q2K340,BD4jx5-A-A-PYR1
P13633,BD3e4o-A-A-SIN1
Q6WZB0,BD9eqf-A-A-SIN1
P18886,BD2deb-A-A-PLM1
P11498,BD3bg3-A-A-PYR1
P93243,BD7vb5-D-D-ACN1
P25325,BD4jgt-A-A-PYR1
P9WKK7,BD6c4a-A-A-PYR1
A0A482LRD5,BD7pfn-AAA-AAA-1BO1
Q6XEC0,BD7pgo-AAA-AAA-1BO1
A0A482LRD5,BD7nrj-AAA-AAA-1BO1
P06204,BD3jze-A-A-ACY1
Q88N39,BD6pcc-A-A-O8Y1
P56704,BD7ure-B-B-PAM1
W7X287,BD8bqs-DI-DI-CDL1
W7X287,BD8bqs-DI-DI-3PE1
W7X287,BD7w5z-7C-7C-CDL1
W7X287,BD7w5z-7C-7C-PC11
W7X287,BD8b6h-DI-DI-CDL1
W7X287,BD8b6h-DI-DI-PC11
Q9HGT7,BD7bmh-A-A-LFA1
P0AGL2,BD2uyn-A-A-2KT1
P0AGL2,BD2uyn-B-A-2KT1
Q23FF5,BD8bqs-DD-DD-CDL1
Q23FF5,BD8bqs-Dd-Dd-3PE1
Q23FF5,BD7w5z-5B-5B-CDL1
Q23FF5,BD8b6h-Dd-Dd-3PE1
P07374,BD4gy7-A-A-ACN1
P07374,BD3la4-A-A-ACN1
P07148,BD7dze-A-A-PLM1
P07148,BD7dzl-A-A-PLM1
Q9V2J8,BD6w25-A-A-OLA1
P02417,BD2hvf-A-A-ACY1
Q8IZF0,BD6xiw-A-A-PEV1
Q8IZF0,BD6xiw-A-A-PGV1
Q8IZF0,BD7sx3-A-A-PEV1
Q8IZF0,BD7sx3-A-A-PGV1
Q5VTY9,BD7q1u-A-A-PLM1
F2Z626,BD6yj4-D-D-PLC1
O59071,BD1wl8-A-A-ACY1
Q9ZSJ4,BD7dz7-V-V-LHG1
Q9ZSJ4,BD7dz7-V-V-NEX1
P10724,BD1xql-A-A-ACY1
P10724,BD1xql-A-A-4AX1
P10724,BD2sfp-A-A-PPI1
F2RB79,BD8hx6-B-B-SIN1
P24826,BD8jrd-A-A-NAR1
P53590,BD5cae-B-B-SIN1
P23522,BD1dxf-A-A-PYR1
Q9EVR0,BD7nay-A-A-MLA1
P08842,BD8eg3-A-A-BOG1
Q15382,BD3t5g-A-A-FAR1
A0A1H1XA63,BD8qle-A-A-LFA1
A0A1G7VV58,BD7q4h-B-B-OLC1
P02945,BD4xxj-A-A-LFA1
Q9K5F2,BD3fyu-I-I-ACY1
P0A790,BD1pqh-A-A-MLA1
Q8ZNT7,BD4d8w-A-A-PYR1
A8LP63,BD4kuk-A-A-ACY1
P9WFX9,BD6uap-B-B-MLA1
P49841,BD3say-A-A-MLA1
P28523,BD3pzh-A-A-EMO1
P42212,BD2b3p-A-A-ACY1
P42212,BD6wvi-A-A-OLC1
P42212,BD6wvd-A-A-OLC1
P42212,BD6wvg-A-A-OLC1
Q9BQB6,BD6wv3-A-A-OLC1
Q57658,BD1ys4-A-A-MLA1
D4Z2G1,BD1g4h-A-A-1BO1
Q9I676,BD8wq9-A-A-ABU1
Q5H4T8,BD4iyo-B-B-PYR1
P03960,BD7zrh-B-B-CDL1
Q8L435,BD5zih-A-A-OLC1
L1J207,BD6edq-A-A-OLC1
A3LT82,BD4m5p-A-A-MLA1
B2HNE1,BD7cb3-A-A-MYR1
O43520,BD8ox7-A-A-IP91
P01116,BD7q9u-BBB-BBB-FAR1
Q9X0Z6,BD3iix-A-A-CPS1
Q9X0Z6,BD3ciw-A-A-CPS1
Q9X0Z6,BD3iiz-A-A-CPS1
Q9X0Z6,BD4jyd-A-A-CPS1
Q9X0Z6,BD3cix-A-A-CPS1
P32656,BD5hwi-A-A-SIN1
N0DKS8,BD6rf3-A-A-BOG1
N0DKS8,BD6rf3-A-A-OLC1
N0DKS8,BD4xtl-A-A-LFA1
Q7Q9J3,BD3vb1-A-A-ACY1
Q9BE39,BD8qyu-B-B-MLA1
Q9UYV8,BD3iw3-A-A-ACY1
Q9UYV8,BD3klc-A-A-ACY1
P42212,BD4l13-A-A-ACY1
Q9X0Z6,BD5fep-A-A-CPS1
Q9HTY7,BD1zki-B-B-ACY1
P75993,BD2oxl-A-A-BOG1
A0A5C6M0R4,BD8ep6-A-A-ACY1
Q87SR8,BD2p7j-B-B-ACY1
Q05329,BD2okk-A-A-ABU1
Q78EG7,BD1zck-A-A-ACY1
A0A0F6NFW5,BD6zoo-A-A-LHG1
A0A0F6NFW5,BD6zoo-A-A-BCR1
P07359,BD1gwb-A-A-ACY1
Q6Q004,BD2p3c-A-A-ACY1
P05979,BD3n8y-B-B-BOG1
P02945,BD7z09-A-A-LFA1
P02945,BD7z09-A-A-OLC1
Q9V2J8,BD6tpj-A-A-OLA1
Q9V2J8,BD6tpg-A-A-OLA1
A0A0H2V8D3,BD7mde-A-A-OLC1
N0DKS8,BD6xyt-A-A-BOG1
N0DKS8,BD6xyt-A-A-OLC1
Q0S8Y1,BD2oqg-A-A-ACY1
O53291,BD8ebg-B-B-ACY1
Q38AU6,BD9f5q-A-A-ACO1
D0VWR8,BD7eda-D-A-SQD1
D0VWR8,BD7eda-D-D-LHG1
D0VWR8,BD7eda-D-D-BCR1
P25774,BD6yyp-BBB-BBB-MLA1
P04578,BD8f3a-A-A-ACY1
A9RT62,BD7xqp-a-a-LHG1
A9RT62,BD7xqp-a-a-XAT1
B6SZT9,BD5zji-Y-Y-LHG1
B6SZT9,BD5zji-Y-Y-NEX1
O14976,BD4o38-A-A-SIN1
Q6EDY6,BD4k17-C-C-ABU1
P0A334,BD4msw-C-C-DGA1
P43220,BD5vew-A-A-OLA1
P43220,BD5vew-A-A-OLC1
P23837,BD3bq8-B-B-ACY1
O60239,BD6ixe-A-A-SIN1
P03372,BD8w03-A-A-OBT1
O14684,BD4yl0-A-A-BOG1
O50174,BD3ju8-A-A-SIN1
C8XA43,BD4hbz-A-A-ACY1
Q5NGF2,BD3m84-A-A-ACY1
A0A6L7HJ56,BD4iqd-A-A-PYR1
D1C5R0,BD4ewf-C-C-ACY1
Q8YAJ4,BD4q6j-B-B-ACY1
P15888,BD3hzn-A-A-SIN1
Q9PPB4,BD3ler-D-D-ACY1
Q9A097,BD2gs8-A-A-ACY1
D1C7D8,BD4rlg-D-D-ABU1
A0A0H3C5N2,BD3u7v-A-A-ACY1
P63422,BD2pdo-B-B-ACY1
A0A0H2UP67,BD1z72-A-A-ACY1
Q5HCK7,BD3giu-A-A-ACY1
Q5NF57,BD3n8h-A-A-ACY1
A0A0H2UPY5,BD3op1-A-A-ACY1
Q9KLB0,BD3nz2-A-A-ACY1
Q5LL54,BD3eyt-A-A-ACY1
Q8Y8S9,BD6q2b-A-A-ACY1
Q9KT71,BD3pns-F-F-ACY1
A0A0H2UP38,BD2b67-A-A-ACY1
Q0PC96,BD3nxk-A-A-ACY1
A6L7X2,BD3ktb-B-B-ACY1
A0A2U2H063,BD7tfq-A-A-SIN1
A0A5P8YGV9,BD7tem-B-B-ACY1
Q8AAV8,BD5ddg-A-A-MLA1
Q8Y7N7,BD3ist-A-A-SIN1
A0A6L7H2S4,BD3hjj-A-A-ACY1
Q82ZN0,BD3cex-A-A-ACY1
Q7MW92,BD2i6d-A-A-ACY1
A0A3P1UCA6,BD3slb-C-C-CPS1
Q97P33,BD6qky-A-A-ACY1
Q7DDR9,BD2g03-A-A-ACY1
Q8NN60,BD3egl-A-A-PLM1
Q9PIK2,BD3uy4-A-A-PAU1
Q81Q29,BD3r5x-D-D-ACY1
P39897,BD8fw0-A-A-EST1
D0VX07,BD3fdj-A-A-ACY1
Q9KKP3,BD2qwv-A-A-ACY1
P58486,BD3gc2-A-A-SIN1
A1RBZ5,BD3rcn-A-A-ACY1
D3KFX9,BD3lnp-A-A-ACY1
Q7WBE0,BD3ocj-A-A-PLM1
P0A9M8,BD7t85-A-A-ACY1
Q0P891,BD3kwo-A-A-ACY1
Q8Y7B7,BD3uf6-A-A-COD1
Q6N0K4,BD3htr-A-A-ACY1
Q57431,BD7s1a-A-A-ACY1
Q74GS0,BD3dew-A-A-ACY1
B1XLD2,BD3sql-A-A-ACY1
O31524,BD1oq1-A-A-ACY1
A5Z657,BD3nyi-A-A-STE1
Q7M8V9,BD3kn3-A-A-ACY1
Q81SZ9,BD4nmu-A-A-ACY1
Q7VS30,BD4mpt-A-A-ACY1
D1A9M1,BD4n03-A-A-PLM1
H9L477,BD6p0x-A-A-AKR1
B4EPS2,BD5e2g-A-A-ACY1
A0A0F6AW83,BD4ew7-A-A-ACY1
Q82SS8,BD2p13-A-A-ACY1
O31671,BD4jgq-A-A-ACY1
O31671,BD4jgo-A-A-PYR1
A6L7S9,BD6njc-A-A-ACY1
Q6N8W4,BD3tx6-A-A-ACY1
A0A6L8PZR0,BD2oqz-A-A-ACY1
A6TGL0,BD3f67-A-A-ACY1
Q5E8F4,BD3nkl-A-A-ACY1
Q8A6S1,BD3ih5-A-A-MLA1
D0U2E3,BD4qyr-A-A-ACY1
D1B2F0,BD3nkg-A-A-ACY1
Q5SKV3,BD3ix7-B-B-ACY1
Q8EE20,BD3u24-A-A-ACY1
Q6NHA4,BD3hm2-A-A-ACY1
P0A4T4,BD5vvi-C-C-ACY1
Q3MFZ5,BD4obb-A-A-1QQ1
D1B7C2,BD3rnr-A-A-ACY1
P05132,BD6mm7-A-A-ACY1
C8WPP1,BD4mnr-A-A-ACY1
Q88JL2,BD4q2b-C-C-MLA1
Q9Q0P0,BD3bkd-A-A-BOG1
P32643,BD3g5t-A-A-T8N1
P32099,BD1x2h-A-A-LPA1
P26361,BD1r0z-A-A-ACY1
Q8A183,BD3mpr-A-A-ACY1
Q99259,BD2okj-A-A-ABU1
P61587,BD7obc-B-B-FAR1
H2L2M6,BD4m3c-A-A-ABU1
H2L2M6,BD3usu-A-A-ABU1
P05164,BD1dnu-C-C-ACY1
P69333,BD5wb2-A-A-OLC1
